Advance_Purchase,Nightly_Rate,Distribution_Channel,Purchased_Rate_Code,Temperature_Max,Temperature_Min,Precipitation,Snowfall,Wind_Speed
32,453.35,WEB,Rate 2,2.52,-6.85,13.58,9.1,80.67
47,55.85,GDS,Rate 1,-3.34,24.31,9.53,0,0.37
61,88.48,CRO/Hotel,Rate 2,-6.4,21.72,9.23,2.65,32.01
215,143.55,WEB,Rate 2,0.13,4.22,17.11,0,42.18
292,61.94,GDS,Rate 2,18.29,-13.74,21.5,0,22.97
98,131.65,WEB,Rate 2,-0.3,26.95,41.55,0,19.96
171,312.37,WEB,Rate 2,5.56,-14.43,5.99,0,3.78
359,239.64,CRO/Hotel,Rate 1,11.09,20.18,36.75,0,64.34
213,451.7,WEB,Rate 1,0.91,33.51,26.57,0,26.25
34,417.85,GDS,Rate 1,19.15,6.88,14.4,0,5.23
226,203.82,WEB,Rate 2,18.87,-3.25,24.64,0,23.1
100,166.74,WEB,Rate 2,-2.45,20.24,15,0,80.19
130,220.86,GDS,Rate 2,4.92,25.86,29.8,0,85.15
256,315.63,CRO/Hotel,Rate 2,-0.97,12.32,21.69,2.58,48.31
4,170.63,CRO/Hotel,Rate 2,-1.45,33.35,8.22,0,41.61
217,330.87,GDS,Rate 2,-8.89,-12.42,5.83,2.02,97.79
254,234.24,GDS,Rate 2,8.29,10.24,27.33,0,20.06
358,298.42,CRO/Hotel,Rate 2,5.08,20.92,45.12,0,21.54
282,246.26,WEB,Rate 1,-8.46,28.13,17.2,0,29.19
206,182.51,GDS,Rate 1,-1.64,-6.04,36.65,0,17.28
14,476.8,WEB,Rate 1,38.29,25,32.93,12.78,37.94
345,393.62,GDS,Rate 1,11.62,12.64,46.58,0,91.08
41,113.05,CRO/Hotel,Rate 2,5.59,4.83,41.05,0,61.53
178,440.81,WEB,Rate 1,15.31,-8.41,28.33,0,41.19
62,269.34,WEB,Rate 1,11.98,28.26,32.85,0,93.44
351,452.55,GDS,Rate 2,-4.72,-7.14,44.92,0,4.85
230,409.93,WEB,Rate 2,22.04,0.49,19.98,0,21.03
240,241.35,GDS,Rate 1,0.8,-0.5,16.34,0,56.59
51,60.11,CRO/Hotel,Rate 1,20.98,28.57,0.54,8.55,61.56
95,170.9,WEB,Rate 2,22.51,18.64,41.33,0,3.96
221,293.74,GDS,Rate 8,-2.4,24.83,40.05,0,40.3
230,335.07,WEB,Rate 2,-6.93,-2.48,5.22,0,64.92
236,166.05,GDS,Rate 8,29.04,16.24,28.84,0,69.81
142,112.71,GDS,Rate 1,12.99,13.59,23.2,0,63.81
170,425.72,GDS,Rate 1,-7.09,26.64,5.94,0,32.06
28,492.98,CRO/Hotel,Rate 8,39.74,30.3,49.03,0,9.35
35,286.56,WEB,Rate 2,-7.11,4.65,10.73,10.12,42.71
12,127.26,CRO/Hotel,Rate 1,24.75,29.6,3.36,0,12.88
159,172.54,GDS,Rate 8,39.18,16.56,29.74,0,94.76
326,58.28,GDS,Rate 2,1.96,24.74,36.94,0,47.52
186,461.43,CRO/Hotel,Rate 8,-2.89,10.13,1.62,0,31.73
242,102.99,CRO/Hotel,Rate 2,-3.93,13.85,32.94,0,76.63
85,309.43,WEB,Rate 2,5.16,9.63,26.61,15.25,49.79
283,173.32,GDS,Rate 2,-4.95,-5.24,5.16,2.88,31
65,299.38,CRO/Hotel,Rate 2,24.61,21.12,8.63,0,81.2
169,343.14,GDS,Rate 8,-6.89,-0.96,28.4,0,86.72
44,423.38,GDS,Rate 8,15.47,-13.78,14.82,0,67.3
61,142.89,WEB,Rate 8,39.83,17.27,46.92,0,4.7
133,54.95,WEB,Rate 8,30.7,-6.14,40.94,0,56.63
283,111.6,WEB,Rate 8,20.76,32.02,49.18,0.15,76.33
27,455.01,CRO/Hotel,Rate 2,5.31,32.7,12.98,0,13.65
107,443.25,GDS,Rate 1,21.19,30.74,48.49,0,22.87
43,318.84,CRO/Hotel,Rate 1,16.35,3.51,21.56,0,88.25
339,320.23,CRO/Hotel,Rate 8,11.3,-14.23,17.38,0,2.01
285,349.27,WEB,Rate 8,-3.46,31.42,2.52,4.66,75.27
330,128.92,GDS,Rate 1,34.33,6.41,2.64,0,47.38
127,461.49,GDS,Rate 2,12.49,33.33,34.6,0,44.68
347,238.45,WEB,Rate 8,-0.27,33.18,22.9,0,0.71
230,222.41,GDS,Rate 2,8.39,27.65,11.33,4.73,81.94
189,283.51,WEB,Rate 1,10.71,-0.28,30.7,12.56,35.98
224,71.13,CRO/Hotel,Rate 1,31.38,4.25,12.64,0,54.08
282,124.83,CRO/Hotel,Rate 8,26.68,27.56,28.88,0,67.73
120,382.12,WEB,Rate 2,28.47,0.85,17.96,0,70.26
115,87.26,CRO/Hotel,Rate 8,-9.45,-6.53,41.18,0,95.6
232,321.42,CRO/Hotel,Rate 1,10.81,12.84,41.03,0,53.13
258,160.41,WEB,Rate 2,14.07,31.81,23.87,0,39.97
358,225.18,CRO/Hotel,Rate 8,-9.04,19.8,17.54,0,95.37
197,179.91,GDS,Rate 8,2.99,13.5,18.13,0,64.21
136,210.05,CRO/Hotel,Rate 8,28.01,-10.14,40.29,0,29.82
317,373.57,WEB,Rate 1,-3.14,15.75,16.41,0,12.65
164,183.7,GDS,Rate 8,16.77,34.5,10.45,19.91,84.26
224,304.88,GDS,Rate 2,0.76,-8,4.23,9.6,36.22
306,264.22,CRO/Hotel,Rate 8,-9.39,10.92,23.33,0,66.05
233,348.65,GDS,Rate 1,2.06,28.87,24.11,0,47.08
171,471.57,WEB,Rate 8,38.79,22.04,42.05,0,19.89
151,379.66,GDS,Rate 1,30.08,19.85,11.06,16.02,60.17
314,146.72,CRO/Hotel,Rate 1,37.98,20.12,19.05,0,6.07
159,64.03,CRO/Hotel,Rate 2,14.39,2.97,40.42,0,41.33
95,168.02,GDS,Rate 2,-4.51,-0.32,41.18,11.72,54.66
232,317.79,WEB,Rate 8,17.4,25.47,19.23,0,43.6
179,73.14,WEB,Rate 1,12.72,25.51,22.96,0,74.87
112,273.36,CRO/Hotel,Rate 1,32.22,28.35,15.16,0,82.79
317,318.58,CRO/Hotel,Rate 2,-5.1,30.66,46.63,4.92,77.12
51,200.41,WEB,Rate 2,14.41,10.57,5.93,18.3,3.88
267,396.91,GDS,Rate 8,-2.5,10.08,46.69,0,19.41
294,97.97,GDS,Rate 1,6.23,24.91,34.19,19.05,53.66
112,83.81,GDS,Rate 2,26.87,17.5,26.58,0,93.48
100,377.68,GDS,Rate 8,13.8,20.1,1.63,12.63,83.5
112,272.97,WEB,Rate 1,8.79,24.79,23.78,0,84.25
80,359.78,CRO/Hotel,Rate 1,9.72,29.5,20.39,2.59,30.32
186,245.67,CRO/Hotel,Rate 2,12.97,1.9,8.06,0,42.94
112,160.88,GDS,Rate 8,29.25,3.78,32.82,0,47.07
1,418.6,WEB,Rate 2,34.6,-10.3,48.56,12.46,15.74
129,409.74,WEB,Rate 8,37.77,13.91,28.11,0,3.11
219,362.61,GDS,Rate 1,29.35,-13.2,35.74,0,94.69
53,172.47,GDS,Rate 8,5.77,8.28,3.42,0,24.07
342,315.6,GDS,Rate 8,24.41,12.13,20.88,0,23.99
223,212.44,CRO/Hotel,Rate 8,11.88,-0.67,5.82,0,8.34
224,91.21,GDS,Rate 8,2.73,14.54,30.64,0,92.85
125,462.79,CRO/Hotel,Rate 8,32.04,-13.47,46.92,0,57.97
129,111.57,WEB,Rate 2,-8.08,-13.13,33.09,8.38,66.7
52,477.61,WEB,Rate 8,35.09,26.13,3.84,10.35,91.16
171,250.7,CRO/Hotel,Rate 8,13.07,3.01,17.73,0,34.56
217,133.31,CRO/Hotel,Rate 1,21.86,-8.65,27.53,0,62.15
159,293.86,CRO/Hotel,Rate 8,22.97,11.11,20.16,0,3.88
197,442.83,CRO/Hotel,Rate 1,34.76,23.5,41.68,0,18.68
246,379.5,GDS,Rate 2,21.83,-4.21,40.73,0,83.12
323,412.95,WEB,Rate 2,20.7,16.14,30.59,0,76.68
202,346.45,GDS,Rate 8,-6.67,-10.73,18.67,0,35.06
183,361.52,CRO/Hotel,Rate 2,15.92,11.06,12.77,0,37.68
122,432.14,GDS,Rate 8,-2.49,33.8,5.29,0,53.36
254,162.35,GDS,Rate 2,26.87,-8.72,17.74,4.91,0.02
293,270.24,WEB,Rate 8,15.61,-14.15,20.66,0,24.12
279,149.54,GDS,Rate 8,24.01,23.51,33.79,0,20.82
324,494.45,WEB,Rate 1,-7.92,25.36,32.91,0,25.05
97,474.83,CRO/Hotel,Rate 1,-5.76,-8.99,3.51,0,80.59
197,67.74,GDS,Rate 1,25.82,-1.72,19.76,0,27.97
239,367.51,CRO/Hotel,Rate 1,-6.4,-14.12,9.09,1,19.15
143,466.36,WEB,Rate 8,-6.44,-0.33,7.84,1,50.43
96,131.26,CRO/Hotel,Rate 2,-9.39,23.66,41.37,1,86.56
200,305.58,CRO/Hotel,Rate 8,37.83,10.9,2.1,1,24.13
123,461.97,WEB,Rate 1,26.88,2.4,20.96,1,7.85
186,65.28,CRO/Hotel,Rate 1,7.66,3.59,8.41,1,35.64
325,363.84,CRO/Hotel,Rate 2,4.83,-14.93,43.97,1,74.77
348,183.81,CRO/Hotel,Rate 1,7.49,-0.01,27.85,1,55.07
258,465.98,GDS,Rate 8,28.73,17.32,11.57,1,81.68
147,486.98,CRO/Hotel,Rate 8,23.07,33.71,25.12,1,95.96
251,474.92,WEB,Rate 8,-0.74,27.35,36.57,1,79.27
345,263.4,GDS,Rate 8,-1.29,-13.82,47.91,1,60.38
146,437.92,GDS,Rate 8,-5.08,29.93,11.02,1,49.33
147,430.05,WEB,Rate 2,23.02,24.16,44.31,1,4.01
351,193.6,CRO/Hotel,Rate 8,28.22,24.02,46.72,1,98.43
198,423.01,GDS,Rate 1,3.25,7.9,45.82,2,38.35
307,66.65,GDS,Rate 1,-8.95,4.9,31.77,3,15.22
127,318.32,GDS,Rate 1,-5.89,0.15,31.49,22,66.67
127,153.5,CRO/Hotel,Rate 1,38.39,-11.72,20.16,14,28.43
